# freq, I_pwr, V_pwr, I_th, V_th
3.2523e+01 8.5693e+00 3.0936e+00 1.0448e+01 1.3775e-14
3.2613e+01 8.5407e+00 3.0792e+00 1.0505e+01 5.6249e-14
3.2703e+01 8.5123e+00 3.0650e+00 1.0564e+01 2.1926e-13
3.2793e+01 8.4840e+00 3.0508e+00 1.0622e+01 8.0815e-13
3.2883e+01 8.4560e+00 3.0368e+00 1.0680e+01 2.8010e-12
3.2973e+01 8.4281e+00 3.0228e+00 1.0739e+01 9.2168e-12
3.3063e+01 8.4004e+00 3.0090e+00 1.0798e+01 2.8832e-11
3.3153e+01 8.3728e+00 2.9953e+00 1.0857e+01 8.5925e-11
3.3243e+01 8.3454e+00 2.9816e+00 1.0916e+01 2.4446e-10
3.3333e+01 8.3182e+00 2.9681e+00 1.0975e+01 6.6531e-10
3.3423e+01 8.2911e+00 2.9546e+00 1.1034e+01 1.7354e-09
3.3514e+01 8.2643e+00 2.9413e+00 1.1094e+01 4.3464e-09
3.3604e+01 8.2375e+00 2.9280e+00 1.1154e+01 1.0471e-08
3.3694e+01 8.2109e+00 2.9148e+00 1.1214e+01 2.4307e-08
3.3784e+01 8.1845e+00 2.9017e+00 1.1274e+01 5.4453e-08
3.3874e+01 8.1583e+00 2.8888e+00 1.1334e+01 1.1791e-07
3.3964e+01 8.1322e+00 2.8759e+00 1.1394e+01 2.4713e-07
3.4054e+01 8.1062e+00 2.8631e+00 1.1455e+01 5.0210e-07
3.4144e+01 8.0804e+00 2.8503e+00 1.1515e+01 9.9019e-07
3.4234e+01 8.0548e+00 2.8377e+00 1.1576e+01 1.8979e-06
3.4324e+01 8.0293e+00 2.8252e+00 1.1637e+01 3.5397e-06
3.4414e+01 8.0039e+00 2.8127e+00 1.1698e+01 6.4318e-06
3.4505e+01 7.9787e+00 2.8004e+00 1.1760e+01 1.1399e-05
3.4595e+01 7.9537e+00 2.7881e+00 1.1821e+01 1.9723e-05
3.4685e+01 7.9288e+00 2.7759e+00 1.1883e+01 3.3357e-05
3.4775e+01 7.9040e+00 2.7638e+00 1.1945e+01 5.5191e-05
3.4865e+01 7.8794e+00 2.7517e+00 1.2007e+01 8.9425e-05
3.4955e+01 7.8549e+00 2.7398e+00 1.2069e+01 1.4201e-04
3.5045e+01 7.8306e+00 2.7279e+00 1.2131e+01 2.2124e-04
3.5135e+01 7.8064e+00 2.7161e+00 1.2193e+01 3.3839e-04
3.5225e+01 7.7823e+00 2.7044e+00 1.2256e+01 5.0854e-04
3.5315e+01 7.7584e+00 2.6928e+00 1.2318e+01 7.5148e-04
3.5405e+01 7.7346e+00 2.6813e+00 1.2381e+01 1.0927e-03
3.5495e+01 7.7110e+00 2.6698e+00 1.2443e+01 1.5645e-03
3.5586e+01 7.6875e+00 2.6584e+00 1.2506e+01 2.2072e-03
3.5676e+01 7.6641e+00 2.6471e+00 1.2568e+01 3.0702e-03
3.5766e+01 7.6409e+00 2.6358e+00 1.2631e+01 4.2130e-03
3.5856e+01 7.6177e+00 2.6247e+00 1.2693e+01 5.7067e-03
3.5946e+01 7.5948e+00 2.6136e+00 1.2755e+01 7.6345e-03
3.6036e+01 7.5719e+00 2.6026e+00 1.2817e+01 1.0093e-02
3.6126e+01 7.5492e+00 2.5916e+00 1.2878e+01 1.3191e-02
3.6216e+01 7.5266e+00 2.5807e+00 1.2938e+01 1.7054e-02
3.6306e+01 7.5041e+00 2.5699e+00 1.2998e+01 2.1818e-02
3.6396e+01 7.4817e+00 2.5592e+00 1.3057e+01 2.7635e-02
3.6486e+01 7.4595e+00 2.5486e+00 1.3115e+01 3.4669e-02
3.6577e+01 7.4374e+00 2.5380e+00 1.3171e+01 4.3096e-02
