# f, o1, x1, o2, x2, o3, x3, o4, x4
1.6036e+01 7.6323e-03 1.5834e-03 1.2700e+00 1.2700e+00 4.0161e+00 4.0161e+00 4.0161e+00 4.0161e+00
1.6126e+01 6.7815e-03 1.4089e-03 1.2843e+00 1.2843e+00 4.0614e+00 4.0613e+00 4.0614e+00 4.0614e+00
1.6216e+01 6.0265e-03 1.2539e-03 1.2987e+00 1.2987e+00 4.1069e+00 4.1067e+00 4.1069e+00 4.1069e+00
1.6306e+01 5.3567e-03 1.1161e-03 1.3132e+00 1.3132e+00 4.1527e+00 4.1523e+00 4.1527e+00 4.1527e+00
1.6396e+01 4.7622e-03 9.9374e-04 1.3277e+00 1.3277e+00 4.1987e+00 4.1979e+00 4.1987e+00 4.1987e+00
1.6486e+01 4.2346e-03 8.8494e-04 1.3424e+00 1.3424e+00 4.2449e+00 4.2434e+00 4.2449e+00 4.2449e+00
1.6577e+01 3.7661e-03 7.8822e-04 1.3571e+00 1.3571e+00 4.2915e+00 4.2887e+00 4.2915e+00 4.2915e+00
1.6667e+01 3.3502e-03 7.0221e-04 1.3719e+00 1.3719e+00 4.3382e+00 4.3333e+00 4.3382e+00 4.3382e+00
1.6757e+01 2.9808e-03 6.2572e-04 1.3867e+00 1.3867e+00 4.3853e+00 4.3770e+00 4.3853e+00 4.3853e+00
1.6847e+01 2.6527e-03 5.5767e-04 1.4017e+00 1.4017e+00 4.4325e+00 4.4193e+00 4.4325e+00 4.4325e+00
1.6937e+01 2.3611e-03 4.9712e-04 1.4167e+00 1.4167e+00 4.4801e+00 4.4595e+00 4.4801e+00 4.4801e+00
1.7027e+01 2.1021e-03 4.4324e-04 1.4318e+00 1.4318e+00 4.5279e+00 4.4968e+00 4.5279e+00 4.5279e+00
1.7117e+01 1.8719e-03 3.9528e-04 1.4470e+00 1.4470e+00 4.5759e+00 4.5305e+00 4.5759e+00 4.5759e+00
1.7207e+01 1.6672e-03 3.5258e-04 1.4623e+00 1.4623e+00 4.6242e+00 4.5598e+00 4.6242e+00 4.6242e+00
